date,path,title,count,uniques
2021-07-07,/astrochun/figshare-actions-publish-test/actions,Actions · astrochun/figshare-actions-publish-test,14,1
2021-07-07,/astrochun/figshare-actions-publish-test,astrochun/figshare-actions-publish-test: This is a simple repo to test Figsha...,7,1
2021-07-07,/astrochun/figshare-actions-publish-test/blob/main/.github/workflows/create_release_upload.yml,figshare-actions-publish-test/create_release_upload.yml at main · astrochun/f...,4,1
2021-07-07,/astrochun/figshare-actions-publish-test/tree/main/.github/workflows,figshare-actions-publish-test/.github/workflows at main · astrochun/figshare-...,4,1
2021-07-07,/astrochun/figshare-actions-publish-test/actions/runs/972296238,Update: 2020-08-18 · astrochun/figshare-actions-publish-test@9e519a4,3,1
2021-07-07,/astrochun/figshare-actions-publish-test/actions/runs/972350615,Fix curl for submission for review · astrochun/figshare-actions-publish-test@...,3,1
2021-07-07,/astrochun/figshare-actions-publish-test/actions/runs/958764782,Do not use env settings · astrochun/figshare-actions-publish-test@7bfb5f9,2,1
2021-07-07,/astrochun/figshare-actions-publish-test/actions/runs/972334737,Adjust parsing of AUTH and URL as strings for curl · astrochun/figshare-actio...,2,1
2021-07-07,/astrochun/figshare-actions-publish-test/actions/runs/972308447,Move release creation to bottom · astrochun/figshare-actions-publish-test@d91...,1,1
2021-07-07,/astrochun/figshare-actions-publish-test/commit/7bfb5f969cef3a9f2d5db703f8855505d194ce6b,Do not use env settings · astrochun/figshare-actions-publish-test@7bfb5f9,1,1
2021-07-07,/astrochun/github-stats,astrochun/github-stats: My GitHub stats,3,2
2021-07-07,/astrochun/github-stats/tree/gh-pages,astrochun/github-stats at gh-pages,1,1
2021-07-07,/astrochun/github-stats-pages,GitHub - astrochun/github-stats-pages: Retrieve statistics for a user's repos...,14,5
2021-07-07,/astrochun/github-stats-pages/actions,Actions · astrochun/github-stats-pages · GitHub,8,2
2021-07-07,/astrochun/github-stats-pages/issues,Issues · astrochun/github-stats-pages,7,1
2021-07-07,/astrochun/github-stats-pages/pull/62,Bug: Wrong avatar image used for organization; Set author of releases by astr...,3,1
2021-07-07,/astrochun/github-stats-pages/pull/64,Bug: Failed run due to IndexError by astrochun · Pull Request #64 · astrochun...,3,1
2021-07-07,/astrochun/github-stats-pages/pulls,Pull requests · astrochun/github-stats-pages,3,1
2021-07-07,/astrochun/github-stats-pages/releases,Releases · astrochun/github-stats-pages,3,1
2021-07-07,/astrochun/github-stats-pages/releases/tag/v0.4.3,Release v0.4.3 · astrochun/github-stats-pages,3,1
2021-07-07,/astrochun/github-stats-pages/releases/tag/v0.4.2,Release v0.4.2 · astrochun/github-stats-pages,2,2
2021-07-07,/astrochun/github-stats-pages/releases/edit/v0.4.3,Edit release · astrochun/github-stats-pages,2,1
