repository_name,site,views,unique_visitors/cloners
academic-ads-bibtex,DuckDuckGo,1,1
github-stats-pages,Google,8,7
github-stats-pages,github.com,2,2
github-stats-pages,yandex.ru,1,1
GNIRSLongSlit,astrochun.github.io,6,2
sqltest-github-stats,com.google.android.gm,1,1
tep-usage-analysis,github.com,2,1
uarizona-salary-app,github.com,5,1
uarizona-salary-app,Google,4,3
uarizona-salary-app,sapp4ua.herokuapp.com,3,1
uarizona-salary-app,astrochun.github.io,3,1
uarizona-salary-app,t.co,1,1
