repository_name,date,clones,unique_visitors/cloners
figshare_test2,2024-01-24,1,1
github-stats,2024-01-15,4,4
github-stats,2024-01-16,3,3
github-stats,2024-01-17,3,3
github-stats,2024-01-18,2,2
github-stats,2024-01-19,3,3
github-stats,2024-01-20,2,2
github-stats,2024-01-21,3,3
github-stats,2024-01-22,4,4
github-stats,2024-01-23,3,3
github-stats,2024-01-24,3,3
github-stats,2024-01-25,3,3
github-stats,2024-01-26,3,3
github-stats,2024-01-27,3,3
github-stats-pages,2024-01-17,1,1
GNIRSLongSlit,2024-01-15,1,1
GNIRSLongSlit,2024-01-21,1,1
GNIRSLongSlit,2024-01-26,2,2
Metallicity_Stack_Commons,2024-01-26,1,1
MMTtools,2024-01-21,1,1
MMTtools,2024-01-27,1,1
MyExpressApp,2024-01-20,1,1
MyExpressApp,2024-01-21,1,1
MZEnv,2024-01-21,1,1
MZEnv,2024-01-24,1,1
PyMontage,2024-01-17,1,1
simplenodeapp,2024-01-20,1,1
site-hugo-academic,2024-01-14,1,1
sqlmodel-learning,2024-01-22,1,1
sqltest-github-stats,2024-01-15,1,1
sqltest-github-stats,2024-01-16,1,1
sqltest-github-stats,2024-01-17,1,1
sqltest-github-stats,2024-01-18,1,1
sqltest-github-stats,2024-01-19,1,1
sqltest-github-stats,2024-01-20,1,1
sqltest-github-stats,2024-01-21,1,1
sqltest-github-stats,2024-01-22,1,1
sqltest-github-stats,2024-01-23,2,2
sqltest-github-stats,2024-01-24,1,1
sqltest-github-stats,2024-01-25,1,1
sqltest-github-stats,2024-01-26,1,1
sqltest-github-stats,2024-01-27,1,1
system_profiler,2024-01-22,1,1
Telluric_Flux,2024-01-24,1,1
test-github-stats,2024-01-15,5,4
test-github-stats,2024-01-16,6,5
test-github-stats,2024-01-17,4,4
test-github-stats,2024-01-18,5,4
test-github-stats,2024-01-19,9,7
test-github-stats,2024-01-20,7,5
test-github-stats,2024-01-21,6,5
test-github-stats,2024-01-22,7,6
test-github-stats,2024-01-23,4,3
test-github-stats,2024-01-24,5,4
test-github-stats,2024-01-25,3,3
test-github-stats,2024-01-26,5,4
test-github-stats,2024-01-27,5,4
test-stats,2024-01-23,1,1
Zcalbase_gal,2024-01-14,2,2
Zcalbase_gal,2024-01-20,1,1
